,Title,Artist,Genre,Year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,Popularity
336,Heroes (we could be),Alesso,big room,2015,126,75,52,-4,24,35,210,4,6,56
337,"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015,156,60,47,-6,9,4,292,33,5,55
338,Perfect,One Direction,boy band,2015,100,82,65,-5,12,40,230,6,8,55
339,Ghosttown,Madonna,dance pop,2015,79,55,54,-7,12,9,250,4,4,54
340,Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015,108,87,60,-4,10,59,193,5,8,54
341,Bloodstream,Ed Sheeran,pop,2015,89,59,48,-6,6,27,309,20,5,52
342,Living For Love,Madonna,dance pop,2015,123,79,67,-5,25,39,219,4,9,52
343,Baby Don't Lie,Gwen Stefani,dance pop,2015,100,55,69,-5,10,26,203,1,3,52
344,Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,120,82,57,-3,16,66,211,6,3,52
345,Steal My Girl,One Direction,boy band,2015,77,76,47,-6,14,52,227,0,4,51
346,"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,2015,127,85,68,-3,6,93,193,1,6,50
347,We Are Here,Alicia Keys,hip pop,2015,93,67,64,-6,8,8,285,43,4,49
348,St Jude,Florence + The Machine,art pop,2015,117,43,26,-11,11,9,225,75,3,47
349,Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015,128,78,57,-4,33,28,243,2,3,46
350,Time of Our Lives,Pitbull,dance pop,2015,124,80,72,-6,69,72,229,9,6,45
351,Sparks,Hilary Duff,dance pop,2015,122,88,85,-5,10,79,186,4,6,44
352,Mr. Put It Down,Ricky Martin,dance pop,2015,128,78,80,-6,4,83,196,1,18,42
353,Legendary Lovers,Katy Perry,dance pop,2015,126,84,62,-5,8,39,224,2,8,41
354,Spark The Fire,Gwen Stefani,dance pop,2015,120,80,88,-4,20,54,202,8,6,39
355,Run Run Run,Kelly Clarkson,dance pop,2015,112,37,28,-7,11,8,273,45,4,36
356,Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,112,90,72,-4,6,88,238,1,13,34
357,Dangerous,Jennifer Hudson,dance pop,2015,109,53,90,-5,8,65,255,0,5,18
358,L.A.LOVE (la la),Fergie,dance pop,2015,202,39,48,-8,26,27,193,2,9,0
359,Cake By The Ocean,DNCE,dance pop,2016,119,75,77,-5,4,90,219,15,5,81
360,Don't Let Me Down,The Chainsmokers,electropop,2016,160,87,53,-5,14,42,208,16,17,81
361,In the Name of Love,Martin Garrix,big room,2016,134,52,50,-6,45,17,196,11,4,81
362,Into You,Ariana Grande,dance pop,2016,108,73,62,-6,14,37,244,2,11,80
363,This Is What You Came For,Calvin Harris,dance pop,2016,124,93,63,-3,15,47,222,20,3,80
364,Million Reasons,Lady Gaga,dance pop,2016,130,42,67,-8,11,15,205,49,4,80
365,Needed Me,Rihanna,barbadian pop,2016,111,31,67,-8,8,30,192,11,24,80
366,7 Years,Lukas Graham,danish pop,2016,120,47,77,-6,39,34,237,29,5,80
367,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,83,67,-6,19,70,236,1,7,79
368,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,105,59,80,-6,6,59,214,10,4,79
369,Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,97,74,57,-6,11,45,230,3,13,79
370,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2016,108,53,63,-7,18,42,225,40,4,79
371,Work,Rihanna,barbadian pop,2016,92,53,73,-6,9,56,219,8,9,78
372,Stitches,Shawn Mendes,canadian pop,2016,150,75,75,-7,5,76,207,2,7,78
373,"Me, Myself & I",G-Eazy,hip hop,2016,112,67,76,-7,16,38,251,2,10,78
374,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,102,71,66,-7,8,69,198,4,11,78
